"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"1361",1029,2960.5,120,-6300,56.246,65.9116666666667,4,4.31
"1362",2244.5,3257.5,-11,-800,56.04,62.1583333333333,4,-0.8
"1364",-186.5,2183.5,12628,-200,50.788,63.085,4,-31.05
"1365",14083,3831.5,35,-8800,52.824,64.5733333333333,4,0.369999999999999
"1366",2143,2913,22,-4300,53.882,63.9216666666667,4,-0.83
"1369",692,2976.5,70,0,52.316,64.515,4,-1.7
"1370",1436,2938.5,78,-1200,59.54,66.4216666666667,4,-0.14
"1371",751,2149,3300,-500,50.486,64.0066666666667,4,-88.82
"1372",-153.5,2284.5,-27580,-500,51.468,63.3533333333333,4,6.53
"1373",1969,3471,722,-6100,51.708,62.3166666666667,4,11.91
"1376",531.5,2764.5,8606,600,48.616,62.735,4,-46.34
"1377",1638.5,2982.5,15,-2800,53.504,61.6266666666667,4,0.12
"1380",-2479,2363,-5090,-400,52.766,64.42,4,-10.59
"1381",849.5,2606,-38,-1400,53.436,65.285,4,0.13
"1386",1321.5,2138,9652,-4900,53.534,64.8816666666667,4,30.53
"1766",900.5,2725.5,709,-1300,47.254,61.2333333333333,4,-3.29
"1769",1337.5,3000,1425,400,54.934,61.4916666666667,4,31.76
"1770",-307.5,2852,-2693,-200,52.07,59.7916666666667,4,4.37
"1771",1807.5,2619,9314,-700,55.512,61.9366666666667,4,42.11
"1772",11079,4084.5,1629,100,61.008,62.8566666666667,4,74.4300000000001
"1783",510,2210.5,3425,-500,50.672,60.2333333333333,4,2.43
"1786",2581,2640.5,3042,-1100,56.346,62.4733333333333,4,42.71
"1787",4911.5,3402,1850,100,57.298,61.75,4,18.26
"1788",14198.5,3138,768,0,48.766,61.46,4,12.7
"1792",4534,2546.5,18176,4400,57.854,61.295,4,1.46
"1794",-476,2452.5,6576,-1100,49.538,59.9016666666667,4,0.25
"1801",1795,2942.5,3644,600,54.31,60.83,4,0.98
"1804",11601.5,3361,804,-1500,48.742,60.64,4,-78.88
"1807",39,3312.5,3595,-200,50.752,59.2616666666667,4,3.9
"1808",5395,2473.5,2269,-100,46.896,61.0433333333333,4,-0.88
"1812",20329.5,3474.5,3033,-2000,50.532,60.39,4,5.19
"1813",483.5,3542,2978,600,56.942,61.4116666666667,4,-2.77
"1815",1187,3048.5,2985,200,55.802,61.1866666666667,4,3.65
"1820",257.5,2808,936,-500,52.944,60.245,4,83.09
"1823",1738,2904.5,6,200,46.754,60.215,4,-0.0300000000000002
"1828",258.5,2070,2147,100,61.204,61.8283333333333,4,9.9
"1832",6113.5,3211,2996,800,61.052,62,4,3.41
"1833",460.5,2953.5,2667,-500,50.154,60.015,4,0.4
"1835",12937,3300.5,2781,-300,54.072,60.7933333333333,4,-12.37
"1838",1023,2322,-47,600,47.432,61.0566666666667,4,0.4
"1839",9080,2173,3273,-2000,49.706,62.0466666666667,4,0.0100000000000051
"1843",6432,2748,16648,900,53.608,61.2916666666667,4,4.81
"1844",1122,2962.5,1491,-1000,46.152,61.3483333333333,4,3.52
"1845",3167.5,3280,1766,-2800,45.684,60.2833333333333,4,-0.73
"1855",-137,2583.5,2102,-200,52.234,60.6783333333333,4,-1.46
"1857",4331.5,3083.5,4339,700,53.838,60.91,4,9.91
"1859",3876.5,2730.5,1231,200,49.204,60.145,4,-0.710000000000001
"2000",550.5,2305.5,-195,7000,43.556,62.5133333333333,4,20.12
"2004",2222.5,2567.5,998,20000,41.528,63.2866666666667,4,-0.900000000000002
"2009",20,2374,-138,5000,48.2,62.715,4,2.22
"2012",125.5,2159,-67,-5000,42.01,62.4333333333333,4,-1.25
"2028",426,2727.5,1567,-30000,49.368,61.3966666666667,4,0.58
"2029",565.5,1919,-1033,0,42.458,61.37,4,-9.48
"2032",240.5,2963,623,-15000,40.244,62.7916666666667,4,5.88
"2036",179.5,1707.5,-1273,5000,49.71,61.1833333333333,4,-0.0699999999999998
"2037",2419.5,2492.5,4240,20000,51.5,60.7766666666667,4,3.85
"2042",484.5,2701,741,-5000,51.942,61.6383333333333,4,-0.440000000000001
"2043",1338.5,3503.5,-306,5000,46.974,61.2783333333333,4,0.359999999999999
"2051",131.5,2137.5,239,-3000,43.464,60.6983333333333,4,0.62
"2058",1686,2831,-860,-5000,44.956,61.6633333333333,4,0.94
"2061",335,2719,340,-5000,49.654,61.5033333333333,4,0.3
"2065",2572,2165.5,239,5000,49.702,60.8033333333333,4,1.87
"2177",1152.5,2578,286,-2000,46.694,61.8183333333333,4,1.01
"2178",10806,2822.5,-498,100,46.304,63.3983333333333,4,-45.01
"2179",-255.5,1917.5,2926,300,44.842,64.32,4,7.08
"2180",10272,3169,326,-2800,48.688,61.1416666666667,4,41.2
"2181",-122,2073,69,-500,47.022,64.22,4,10.69
"2182",1592.5,2629.5,-4326,-1200,46.072,63.89,4,13.09
"2184",6937.5,2968.5,13,-400,51.5,64.5633333333333,4,158.59
"2185",1216,3731.5,-2635,-1200,43.288,63.9116666666667,4,-17.28
"2188",949,2451.5,102,-3000,42.572,61.1183333333333,4,2.63
"2189",2095.5,2389,584,1000,47.276,61.4633333333333,4,0.74
"2190",2026,2908.5,-648,-600,48.098,63.7916666666667,4,9.2
"2191",1943.5,2819,56,-1800,48.958,64.9266666666667,4,-0.26
